n_no kokgi_v 閩南語詞目
1995 造謠 生話
1996 白話 白話
1996 虛言 白話
1997 吹牛 白賊
1997 故說八道 白賊
1997 說大話 白賊
1997 說謊 白賊
1997 撒謊 白賊
1997 謊話 白賊
1998 說謊 白賊七仔
1999 吹牛 白賊話
1999 說大話 白賊話
1999 謊話 白賊話
2000 倒霉鬼 白跤蹄
2000 掃把星 白跤蹄
2000 掃帚星 白跤蹄
2001 生路 生路
2001 活路 生路
2002 生鏽 生鉎
2003 大地主 田僑仔
2003 地主 田僑仔
2004 石榴 石榴
2005 白開水 白滾水
2005 開水 白滾水
2006 眼眶 目箍
2007 石膏 石膏
2008 目標 目標
2008 標準 目標
2009 瓦窯 瓦窯
2010 皮箱 皮箱
2011 石碾 石碾
2011 滾石 石碾
2012 斗笠 甲箬笠
2013 皮膚 皮膚
2014 甘蔗 甘蔗
2015 甘蔗渣 甘蔗粕
2015 蔗渣 甘蔗粕
2016 白皚皚 白蔥蔥
2016 蒼白 白蔥蔥
2017 申請 申請
2017 要求 申請
2017 請求 申請
2018 白醋 白醋
2019 皮鞋 皮鞋
2020 石磨 石磨
2021 白糖 白糖
2021 砂糖 白糖
2022 糖蔥 白糖蔥
2023 目錄 目錄
2024 眉頭 目頭
2025 小石子 石頭仔
2025 小石頭 石頭仔
2025 碎石 石頭仔
2026 白頭翁 白頭鵠仔
2027 蜻蜓 田嬰
2028 橫痃 生檨仔
2029 田螺 田螺
2030 白費口舌 白講
2030 白費脣舌 白講
2031 鍋子 生鍋
2032 白癜風 白癜
2033 白蟻 白蟻
2034 眼鏡 目鏡
2035 鏨 石鏨
2035 鏨子 石鏨
2035 鑿子 石鏨
2036 眼鏡鏡片 目鏡仁
2036 鏡片 目鏡仁
2037 甘心 甘願
2037 甘願 甘願
2037 情願 甘願
2037 寧願 甘願
2037 滿足 甘願
2038 白鯧魚 白鯧
2039 木蘭花 玉蘭花
2039 玉蘭花 玉蘭花
2039 白玉蘭 玉蘭花
2039 白蘭花 玉蘭花
2040 生鐵 生鐵
2040 鑄鐵 生鐵
2041 白鐵 白鐵仔
2041 鍍鋅鐵 白鐵仔
2042 白鶴 白鶴
2043 長癬 生癬
2044 白癬 白癬
2045 吃驚 生驚
2045 驚嚇 生驚
2046 立體 立體
2047 白晃晃 白鑠鑠
2048 交 交
2049 交 交
2050 及 交
2050 加入 交
2050 和 交
2050 跟 交
2050 與 交
2050 攙入 交
2051 亥 亥
2052 也 亦
2053 件 件
2054 任 任
2054 任由 任
2054 任憑 任
2054 在 任
2054 隨便 任
2054 聽憑 任
2055 份 份
2056 仿 仿
2057 他 伊
2058 伐 伐
2059 休 休
2060 支持 伨
2060 平均 伨
2060 爭執 伨
2060 婚配 伨
2061 兆 兆
2062 仙 先
2062 先 先
2062 前 先
2063 先 先
2063 前 先
2064 光 光
2064 亮 光
2065 光 光
2066 全 全
2066 全部 全
2066 皆 全
2066 都 全
2066 總 全
2067 交代 交代
2067 吩咐 交代
2067 囑咐 交代
2068 半土雞 仿仔雞
2069 大夫 先生
2069 先生 先生
2069 老師 先生
2069 教師 先生
2069 道士 先生
2069 醫生 先生
2069 醫師 先生
2070 師母 先生娘
2070 師娘 先生娘
2070 醫生夫人 先生娘
2071 女祕醫 先生媽
2071 太師母 先生媽
2071 巫婆 先生媽
2072 慌張 兇狂
2073 交往 交往
2073 來往 交往
2074 交易 交易
2075 交易 交易
2076 光明 光明
2077 先知 先知
2077 先覺 先知
2077 預言家 先知
2078 交流 交流
2079 伙食 伙食
2080 光面 光面
2081 休息 休息
2081 放假 休息
2081 停止 休息
2081 歇 休息
2081 歇息 休息
2082 交涉 交涉
2083 交情 交情
2083 情誼 交情
2084 交接 交接
2084 移交 交接
2085 交通 交通
2086 交情 交陪
2086 交際往來 交陪
2086 應酬 交陪
2087 交割 交割
2088 光復 光復
2089 交往 交插
2089 來往 交插
2089 往來 交插
2089 關係 交插
2090 交換 交換
2090 對換 交換
2090 對調 交換
2090 調換 交換
2091 光景 光景
2091 風景 光景
2091 景物 光景
2091 景致 光景
2092 替死鬼 交替
2093 交椅 交椅
2093 扶手 交椅
2093 靠背 交椅
2094 全然 全然
2095 交情 交結
2095 交際往來 交結
2095 結交 交結
2095 應酬 交結
2096 先進 先進
2096 先輩 先進
2096 前輩 先進
2097 分量 份量
2098 企業 企業
2099 掉落 交落
2099 遺失 交落
2100 光彩 光榮
2100 光榮 光榮
2101 交際 交際
2102 先進 先輩
2102 先輩 先輩
2102 長輩 先輩
2102 前輩 先輩
2103 休學 休學
2104 發抖 交懍恂
2105 光頭 光頭
2106 本分 份額
2106 額度 份額
2107 交易 交關
2107 惠顧 交關
2107 買賣 交關
2108 先知 先覺
2108 先覺 先覺
2108 預言家 先覺
2109 向 共
2109 把 共
2109 將 共
2109 給 共
2109 跟 共
2109 幫 共
2110 共 共
2110 同 共
2110 向 共
2110 弄 共
2110 抖 共
2110 和 共
2110 哄 共
2110 耍 共
2110 捉弄 共
2110 從 共
2110 逗 共
2110 欺負 共
2110 跟 共
2110 對 共
2110 戲弄 共
2111 共 共
2112 又 再
2112 再 再
2113 冰 冰
2113 冷 冰
2113 涼 冰
2113 溫度低 冰
2114 打 刐
2114 剁 刐
2114 拐 刐
2114 砍 刐
2114 唬 刐
2114 斬 刐
2114 揮 刐
2114 撈 刐
2114 雕 刐
2114 雕刻 刐
2114 騙 刐
2115 刑 刑
2116 划 划
2117 列 列
2118 匠 匠
2118 師 匠
2118 師傅 匠
2119 印 印
2119 印章 印
2120 合 合
2121 合 合
2122 合 合
2123 吉 吉
2124 吊 吊
2124 取消 吊
2124 掛 吊
2124 戴 吊
2124 懸掛 吊
2125 同 同
2126 名 名
2127 名 名
2128 吐 吐
2128 啄 吐
2128 超過 吐
2128 顯露 吐
2129 吐 吐
2129 抓兔子 吐
2129 發 吐
2129 嘔吐 吐
2130 垂頭  向
2130 彎下去 向
2130 彎腰 向
2131 向 向
2132 向 向
2133 向 向
2133 面對 向
2133 趨向 向
2134 小 囝
2134 少量 囝
2134 男生 囝
2134 兒女 囝
2134 孩子 囝
2135 回 回
2135 拒絕 回
2135 推辭 回
2135 謝絕 回
2136 囟 囟
2137 因 因
2138 一定 在
2138 在 在
2138 穩 在
2139 各人 各人
2140 合力 合力
2140 協力 合力
2141 任人 在人
2141 隨人 在人
2142 再三 再三
2142 屢次 再三
2143 吐大氣 吐大氣
2143 嘆息 吐大氣
2143 嘆氣 吐大氣
2144 打點滴 吊大筒
2144 吊點滴 吊大筒
2145 吉凶 吉凶
2146 吉日 吉日
2146 烈日 吉日
2147 一心 同心
2147 同心 同心
2147 齊心 同心
2148 回心轉意 回心轉意
2149 名片 名片
2149 名刺 名片
2150 印章 印仔
2151 名冊 名冊
2151 名簿 名冊
2151 名籍 名冊
2152 小孩子 囡仔
2153 生前 在世
2153 在世 在世
2154 小孩 囡仔人
2155 童工 囡仔工
2156 小男孩 囡仔兄
2157 小孩子 囡仔囝
2157 幼童 囡仔囝
2158 小毛頭 囡仔疕
2158 小鬼 囡仔疕
2159 幼稚 囡仔性
2159 孩子氣 囡仔性
2159 稚氣 囡仔性
2160 小孩子 囡仔栽
2161 幼稚 囡仔款
2161 孩子氣 囡仔款
2161 稚氣 囡仔款
2162 兒歌 囡仔歌
2162 童謠 囡仔歌
2163 嬰兒 囡仔嬰
2163 嬰孩 囡仔嬰
2164 合用 合用
2164 適用 合用
2165 突眼 吐目
2165 鼓眼泡 吐目
2166 生前 在生
2166 在世 在生
2167 吉兆 吉兆
2167 好兆頭 吉兆
2167 好彩頭 吉兆
2168 伸出 吐吐
2168 突出 吐吐
2169 後傾 向向
2170 同年 同年
2171 名字 名字
2171 姓名 名字
2172 本地 在地
2172 當地 在地
2173 本地人 在地人
2174 上吊 吊死
2174 上吊自殺 吊死
2174 吊死 吊死
2174 自縊 吊死
2175 印色 印色
2175 印泥 印色
2176 吐舌 吐舌
2177 吐血 吐血
2178 新肉 吐肉箭
2179 各位 各位
2179 每位 各位
2179 諸位 各位
2180 名利 名利
2181 同志 同志
2182 回信 回批
2182 覆函 回批
2183 冰塊 冰角
2183 冰雹 冰角
2184 列車 列車
2185 吊車 吊車
2185 起重機 吊車
2186 敬陪末座 吊車尾
2187 刑事 刑事
2188 合併 合併
2189 同事 同事
2189 同僚 同事
2190 在來米 在來米
2191 印刷 印刷
2192 子女 囝兒
2192 兒子 囝兒
2192 後輩 囝兒
2192 晚輩 囝兒
2193 妯娌 同姒仔
2194 同居 同居
2195 冰棒 冰枝
2196 因果 因果
2197 合法 合法
2198 再版 再版
2199 合股 合股
2199 合夥 合股
2200 連襟 同門
2201 之前 向前
2201 以前 向前
2201 向前 向前
2201 往前 向前
2202 合奏 合奏
2203 在室女 在室女
2203 處女 在室女
2203 閨女 在室女
2204 危急 危急
2205 因為 因為
2206 合約 合約
2207 同胞 同胞
2208 合攏 合倚
2209 全家 合家
2209 闔家 合家
2210 子孫 囝孫
2210 兒孫 囝孫
2211 在座 在座
2212 同時 同時
2213 已往 向時
2213 以往 向時
2213 以前 向時
2213 昔日 向時
2213 從前 向時
2213 過去 向時
2214 及格 合格
2214 合格 合格
2215 吐大氣 吐氣
2215 嘆息 吐氣
2215 嘆氣 吐氣
2216 京胡 吊鬼仔
2217 合唱 合唱
2218 印堂 印堂
2218 眉心 印堂
2219 同情 同情
2220 名望 名望
2220 名聲 名望
2220 名譽 名望
2220 聲望 名望
2220 聲譽 名望
2221 希望 向望
2221 盼望 向望
2221 寄望 向望
2221 期待 向望
2221 期望 向望
2222 共產 共產
2223 合理 合理
2224 土產 名產
2224 名產 名產
2225 吉祥 吉祥
2226 划船 划船
2227 上吊 吊脰
2227 上吊自殺 吊脰
2227 吊死 吊脰
2227 自縊 吊脰
2228 在野 在野
2229 合口 合喙
2229 閉口 合喙
2230 向善 向善
2231 名單 名單
2232 女婿 囝婿
2232 半子 囝婿
2233 合掌 合掌
2234 吉普車 吉普
2235 吊猴 吊猴
2235 抓奸夫 吊猴
2236 同窗 同窗
2236 同學 同窗
2237 回信 回答
2237 回答 回答
2237 回話 回答
2237 回應 回答
2237 回覆 回答
2237 答覆 回答
2238 印象 印象
2239 貼藥膏 吊傷
2240 同意 同意
2240 同感 同意
2240 贊同 同意
2240 贊成 同意
2241 同意 同感
2241 同感 同感
2242 再見 再會
2242 再會 再會
2243 彎腰 向腰
2244 脫肛 吐腸頭
2245 斷炊 吊鼎
2246 桔槔 吊槔
2246 轆轤 吊槔
2247 各種 各種
2248 划算 合算
2248 合計 合算
2248 合算 合算
2249 因由 因端
2249 原由 因端
2249 原因 因端
2249 緣故 因端
2250 刑罰 刑罰
2250 處罰 刑罰
2251 狗皮藥膏 吊膏
2251 貼藥膏 吊膏
2251 藥膏 吊膏
2252 孤僻 各馝
2252 風趣 各馝
2252 笑話 各馝
2252 插科打諢 各馝
2252 滑稽 各馝
2252 詼諧 各馝
2253 回魂 回魂
2253 還魂 回魂
2254 一起 同齊
2254 交際 同齊
2254 同時 同齊
2254 往來 同齊
2254 偕同 同齊
2254 結伴 同齊
2255 吐苦水 吐憐涎
2255 信口開河 吐憐涎
2255 胡說八道 吐憐涎
2256 各樣 各樣
2256 異狀 各樣
2256 異樣 各樣
2257 冰箱 冰箱
2257 電冰箱 冰箱
2258 同窗 同學
2258 同學 同學
2259 危機 危機
2260 吊橋 吊橋
2261 冰糖 冰糖
2262 合辦 合辦
2263 危險 危險
2264 上吊 吊頷
2264 上吊自殺 吊頷
2264 吊死 吊頷
2264 自縊 吊頷
2265 回頭 回頭
2266 消炎 吊癀
2266 貼藥膏 吊癀
2267 吐穗 吐穗
2268 名望 名聲
2268 名聲 名聲
2268 名譽 名聲
2268 聲望 名聲
2268 聲譽 名聲
2269 在職 在職
2270 回信 回覆
2270 回答 回覆
2270 回話 回覆
2270 回應 回覆
2270 回覆 回覆
2270 答覆 回覆
2270 覆函 回覆
2271 合身 合軀
2272 名額 名額
2273 定額 在額
2274 名冊 名簿
2274 名簿 名簿
2274 名籍 名簿
2275 吊籃 吊籃
2275 有蓋提籃 吊籃
2276 樹頭鮮 在欉黃
2277 印鑑 印鑑
2278 地 地
2279 圳 圳
2279 溝 圳
2280 多 多
2281 奸 奸
2282 白費 好
2282 好 好
2282 完 好
2282 明白 好
2282 畢 好
2282 損失 好
2282 賠錢 好
2283 好 好
2284 及 如
2284 如 如
2284 似 如
2284 若 如
2284 像 如
2285 妃 妃
2286 字 字
2287 存 存
2288 宅 宅
2289 守 守
2290 守 守
2291 安 安
2291 設置 安
2292 寺 寺
2292 廟 寺
2293 尖 尖
2293 利 尖
2294 州 州
2295 帆 帆
2296 帆 帆
2297 年 年
2298 冬 年
2298 年 年
2299 庄 庄
2299 莊 庄
2300 地下 地下
2301 下葬 安土
2301 安葬 安土
2301 埋葬 安土
2302 久而久之 年久月深
2302 日積月累 年久月深
2302 經年累月 年久月深
2303 地下道 地下道
2304 地支 地支
2305 一帶 地方
2305 地方 地方
2305 地區 地方
2305 區域 地方
2306 好天 好天
2306 好天氣 好天
2307 好心 好心
2307 善心 好心
2308 好歹 好歹
2309 打算 存心
2309 存心 存心
2309 存心不良 存心
2309 有意 存心
2309 故意 存心
2309 專程 存心
2310 安心 安心
2310 放心 安心
2311 小老婆 如夫人
2311 如夫人 如夫人
2311 妾 如夫人
2311 姨太太 如夫人
2311 細姨 如夫人
2312 偏旁 字爿
2313 地震 地牛翻身
2314 大地主 地主
2314 地主 地主
2315 好兄弟 好兄弟
2315 好朋友 好兄弟
2315 孤魂野鬼 好兄弟
2315 遊魂 好兄弟
2316 年歲 年冬
2316 收成 年冬
2316 收穫 年冬
2317 奸巧 奸巧
2317 奸詐 奸巧
2317 奸險 奸巧
2317 陰險 奸巧
2318 字母 字母
2319 帆布 帆布
2320 地皮 地皮
2321 安分 安份
2322 好孩子 好囝
2323 存在 存在
2324 安宅 安宅
2325 正常 好好人
2325 好端端 好好人
2326 豐年 好年冬
2327 壽終正寢 好死
2328 如此 如此
2328 這樣 如此
2329 拚死 存死
2329 冒死 存死
2330 不過爾爾 如此如此
2330 如此云云 如此如此
2330 如此如此 如此如此
2331 小人 奸臣
2331 奸臣 奸臣
2332 好色 好色
2333 地位 地位
2334 地址 地址
2334 住址 地址
2334 住所 地址
2334 居所 地址
2335 年尾 年尾
2335 年底 年尾
2335 年終 年尾
2335 年跟腳 年尾
2335 歲末 年尾
2336 年尾孩子 年尾囡仔
2337 地形 地形
2337 地勢 地形
2338 安床 安床
2339 地步 地步
2339 情況 地步
2339 境地 地步
2340 好養育 好育飼
2341 安身 安身
2341 容身 安身
2342 多事 多事
2342 好管閒事 多事
2342 家婆 多事
2342 愛管閒事 多事
2342 雞婆 多事
2343 釋迦牟尼 如來佛祖
2344 好在 好佳哉
2344 幸好 好佳哉
2344 幸虧 好佳哉
2344 還好 好佳哉
2345 字典 字典
2345 辭典 字典
2346 好奇 好奇
2347 年尾 年底
2347 年底 年底
2347 年終 年底
2347 年跟腳 年底
2347 歲末 年底
2348 好性子 好性地
2349 好事情 好空
2349 好機會 好空
2350 獨守空閨 守空房
2351 好客 好客
2352 年度 年度
2353 預留後路 存後步
2354 地盤 地界
2354 地頭 地界
2354 界限 地界
2354 區域 地界
2355 好看 好看
2355 難堪 好看
2355 體面 好看
2356 安胎 安胎
2357 年紀 年紀
2357 年歲 年紀
2357 年齡 年紀
2357 歲數 年紀
2358 年限 年限
2359 安家 安家
2360 安眠 安眠
2361 土地稅 地租
2362 面帶笑容 好笑神
2362 神態愉悅 好笑神
2363 文書 字紙
2363 契約 字紙
2363 廢紙 字紙
2364 字紙簍 字紙籠
2365 好酒 好酒
2366 年尾 年兜
2366 年底 年兜
2366 年終 年兜
2366 年跟腳 年兜
2366 歲末 年兜
2367 地震 地動
2368 地基 地基
2369 地祇 地基主
2370 吉兆 好彩頭
2370 好兆頭 好彩頭
2370 好彩頭 好彩頭
2371 多情 多情
2372 安排 安排
2373 地理 地理
2373 風水 地理
2373 墳墓 地理
2374 字眼 字眼
2375 地理先生 地理師
2375 地理師 地理師
2375 風水師 地理師
2376 奸細 奸細
2376 間諜 奸細
2377 帆船 帆船
2378 存貨 存貨
2379 好言好語 好喙
2379 說好說歹 好喙
2379 嘴巴甜 好喙
2380 不挑食 好喙斗
2381 尖嘴鉗 尖喙夾仔
2382 十字鎬 尖喙掘仔
2383 安排 安插
2383 安插 安插
2383 安置 安插
2384 地毯 地毯
2385 教養差 好款
2385 壞習慣 好款
2386 存款 存款
2387 有雅量 好量
2387 氣度寬大 好量
2387 寬宏大量 好量
2388 奸巧 奸雄
2388 奸雄 奸雄
2388 梟雄 奸雄
2388 險詐 奸雄
2389 好意思 好勢
2389 舒服 好勢
2389 舒適 好勢
2389 順利 好勢
2390 好意 好意
2390 美意 好意
2390 善意 好意
2391 安頓 安搭
2391 安慰 安搭
2391 安撫 安搭
2391 搓 安搭
2391 摸 安搭
2391 撫 安搭
2392 大水溝 圳溝
2392 大溝渠 圳溝
2393 年紀 年歲
2393 年歲 年歲
2393 年齡 年歲
2393 歲數 年歲
2394 守節 守節
2395 年節 年節
2396 店名 字號
2397 下葬 安葬
2397 安葬 安葬
2397 埋葬 安葬
2398 地名 地號名
2399 奸詐 奸詭
2399 奸險 奸詭
2399 狡猾 奸詭
2400 吉祥話 好話
2400 好話 好話
2401 鄉下 庄跤
2401 鄉村 庄跤
2401 農村 庄跤
2402 手腳細嫩 尖跤幼手
2402 玉手纖纖 尖跤幼手
2402 細皮嫩肉 尖跤幼手
2403 好運 好運
2403 好運氣 好運
2403 幸運 好運
2404 機運 字運
2405 字畫 字劃
2405 字劃 字劃
2405 筆畫 字劃
2406 守寡 守寡
2407 安詳 安寧
2407 安寧 安寧
2407 寧靜 安寧
2408 守夜 守暝
2409 大丈夫 好漢
2409 好漢 好漢
2409 男子漢 好漢
2410 地獄 地獄
2411 嗅覺靈敏 好鼻獅
2412 地價 地價
2413 好價格 好價
2413 好價錢 好價
2414 安慰 安慰
2414 欣慰 安慰
2415 地方 地盤
2415 地盤 地盤
2415 地頭 地盤
2415 界限 地盤
2415 區域 地盤
2416 打算 存範
2416 存心不良 存範
2417 安養 安養
2418 字據 字據
2419 奸巧 奸險
2419 奸詐 奸險
2419 奸險 奸險
2419 陰險 奸險
2420 安靜 安靜
2421 地方 地頭
2421 地盤 地頭
2421 地頭 地頭
2421 界限 地頭
2421 區域 地頭
2422 年頭 年頭
2423 村落 庄頭
2424 大膽 好膽
2424 有勇氣 好膽
2425 多謝 多謝
2425 感激 多謝
2425 感謝 多謝
2425 道謝 多謝
2425 謝謝 多謝
2426 地方 地點
2426 地點 地點
2426 所在 地點
2427 有禮 好禮
2428 有錢 好額
2428 富有 好額
2428 富裕 好額
2429 有錢人 好額人
2429 財主 好額人
2429 富戶 好額人
2429 富翁 好額人
2429 債主 好額人
2430 安穩 安穩
2431 年關 年關
2432 安靈 安靈
2433 善於變通 尖鑽
2433 鑽營 尖鑽
2434 戌 戌
2435 成 成
2435 約 成
2436 成 成
2437 成 成
2437 似 成
2437 像 成
2439 托 托
2439 拄 托
2440 扛 扛
2440 抬 扛
2440 挑 扛
2440 擔 扛
2441 扶 扞
2441 持 扞
2442 捲 扣
2443 扣 扣
2443 扣除 扣
2443 拘留禁制 扣
2443 減除 扣
2444 刺 扦
2444 鑿 扦
2445 收 收
2446 早 早
2447 關節 曲
2447 彎 曲
2448 曲 曲
2448 歌 曲
2449 有 有
2450 有 有
2451 朱 朱
2452 次 次
2453 此 此
2454 死 死
2455 死 死
2455 死亡 死
2456 有一天 有一日
2457 說一不二 有一無兩
2458 成人 成人
2459 成人 成人
2459 成年 成人
2459 成年人 成人
2460 收入 收入
2461 有力 有力
2462 死人 死人
2463 表情惡劣 死人面
2463 面無血色 死人面
2463 臉色難看 死人面
2464 死相 死人款
2464 死樣子 死人款
2465 人緣好 有人緣
2466 收尾 收山
2466 收場 收山
2466 結束 收山
2467 收工 收工
2468 去世 死亡
2468 死 死亡
2468 死亡 死亡
2468 逝世 死亡
2468 過世 死亡
2468 過去 死亡
2469 收心 收心
2470 水分消失 收水
2471 之前 早日
2471 以往 早日
2471 以前 早日
2471 早一點 早日
2471 從前 早日
2471 提早 早日
2472 死心 死心
2473 一個月 成月日
2473 個把月 成月日
2474 成功 成功
2475 收成 收冬
2476 早冬 早冬
2476 夏稻 早冬
2476 夏穫 早冬
2476 第一期稻作 早冬
2477 死 曲去
2477 往生 曲去
2477 過世 曲去
2478 成本 成本
2479 成立 成立
2480 眼拙 死目
2481 成全 成全
2482 有名 有名
2483 死刑 死刑
2484 死孩子 死囡仔
2484 臭小子 死囡仔
2485 仰泳 死囡仔䖙
2486 死小孩 死囡仔脯
2487 成人 成年
2487 成年 成年
2488 早年 早年
2489 收成 收成
2490 失去感覺 死肉
2490 死肉 死肉
2490 沒有神經 死肉
2491 准聽不准說 有耳無喙
2492 吃閒飯 死坐活食
2493 末尾 收尾
2493 收尾 收尾
2493 收場 收尾
2493 最後 收尾
2493 結束 收尾
2494 孝順 有孝
2495 收縮 收束
2495 縮 收束
2495 縮小 收束
2495 縮減 收束
2495 癒合 收束
2496 懷孕 有身
2496 懷胎 有身
2497 托兒所 托兒所
2498 有底 有底
2499 至死不變 死忠
2499 忠心 死忠
2500 定型 死性
2501 扣押 扣押
2501 扣留 扣押
2501 拘留 扣押
2502 木柴 死板
2502 古板 死板
2502 死板 死板
2502 呆板 死板
2502 刻板 死板
2502 棺材 死板
2503 吸收水分 收泔
2503 舀米湯 收泔
2504 成器 成物
2504 像樣 成物
2505 無內容 有的無的
2505 無意義 有的無的
2506 胡編瞎編 有空無榫
2507 以前 早前
2507 早先 早前
2508 收拾 收拾
2508 修理 收拾
2508 整人 收拾
2508 整理 收拾
2509 死水 死泉
2510 死活 死活
2511 朱紅 朱紅
2512 有限 有限
2513 要緊 有要緊
2513 嚴重程度 有要緊
2514 收音機 收音機
2515 成家 成家
2516 持家 扞家
2517 今早 早起時仔
2517 早上 早起時仔
2517 早晨 早起時仔
2518 有時候 有時仔
2518 偶而 有時仔
2518 偶爾 有時仔
2519 定時 有時有陣
2519 非經常性 有時有陣
2519 時間性 有時有陣
2519 偶爾 有時有陣
2520 有時候 有時陣
2520 偶而 有時陣
2520 偶爾 有時陣
2521 旦夕 早晏
2521 早晚 早晏
2521 晨昏 早晏
2521 朝夕 早晏
2522 扣押 扣留
2522 扣留 扣留
2522 拘留 扣留
2523 收容 收留
2523 收留 收留
2524 駝背 曲痀
2525 死症 死症
2526 收租 收租
2526 收租金 收租
2527 有神 有神
2527 奇妙 有神
2527 神奇 有神
2528 上午 早起
2528 早上 早起
2528 早晨 早起
2528 早飯 早起
2528 早餐 早起
2529 早上 早起頓
2529 早晨 早起頓
2529 早飯 早起頓
2529 早餐 早起頓
2530 扣除 扣除
2531 成為 成做
2531 變成 成做
2532 非常 有夠
2532 很 有夠
2534 有情 有情
2535 成敗 成敗
2536 早產 早產
2537 可以 有通
2537 可行 有通
2537 行得通 有通
2537 能夠 有通
2538 收口 收喙
2538 癒合 收喙
2539 末尾 收場
2539 收尾 收場
2539 收場 收場
2539 最後 收場
2539 結束 收場
2540 成功 成就
2540 成果 成就
2540 成就 成就
2540 成績 成就
2540 績效 成就
2541 不像樣 有款
2541 教養差 有款
2541 裝派頭 有款
2541 撒嬌 有款
2541 壞習慣 有款
2542 早睡 早睏
2543 死結 死結
2544 死絕 死絕
2545 有雅量 有量
2545 氣度寬大 有量
2545 寬宏大量 有量
2546 有空 有閒
2547 收集 收集
2547 搜集 收集
2547 聚集 收集
2547 蒐集 收集
2548 有雄 有雄
2548 胚胎受精 有雄
2549 旦夕 早暗
2549 早晚 早暗
2549 晨昏 早暗
2549 朝夕 早暗
2550 已訂婚 死會
2550 已結婚 死會
2550 死會 死會
2551 上了年紀 有歲
2552 有時候 有當時仔
2552 偶而 有當時仔
2552 偶爾 有當時仔
2553 死水 死窟仔水
2554 死罪 死罪
2555 感覺 有聖
2555 預感 有聖
2555 靈感 有聖
2555 靈驗 有聖
2556 蹺腳 曲跤
2557 金盆洗手 收跤洗手
2558 死路 死路
2558 沒路 死路
2558 絕交 死路
2558 絕路 死路
2559 中用 有路用
2559 有用 有路用
2560 死在路邊 死路旁
2560 死路旁 死路旁
2560 咒人去死 死路旁
2560 路旁屍 死路旁
2560 慘遭橫死 死路旁
2561 早上 早頓
2561 早晨 早頓
2561 早飯 早頓
2561 早餐 早頓
2562 掌灶 扞鼎灶
2562 掌廚 扞鼎灶
2563 託夢 託夢
2564 不浮誇 樸實
2564 踏實 樸實
2564 樸實 樸實
2565 早晚 早慢
2565 遲早 早慢
2566 不活潑 死趖
2566 慢吞吞 死趖
2566 遲鈍 死趖
2567 非常 有影
2567 真正 有影
2567 真的 有影
2567 真實 有影
2567 實在 有影
2567 確實 有影
2568 理財 扞數
2568 管帳 扞數
2569 收帳 收數
2570 掌管 扞盤
2570 操盤 扞盤
2571 收盤 收盤
2572 唱片 曲盤
2573 強辯 死諍
2574 死豬價 死豬仔價
2574 固定售價 死豬仔價
2575 收攤 收擔
2576 收條 收據
2576 收據 收據
2577 支持很久 有擋頭
2577 有耐力 有擋頭
2578 動物懷孕 有膭
2579 成婚 成親
2579 成親 成親
2579 結婚 成親
2579 嫁娶 成親
2580 不承擔 死賴人
2580 死賴人 死賴人
2581 死錢 死錢
2582 有錢人 有錢人
2582 財主 有錢人
2582 富翁 有錢人
2582 債主 有錢人
2583 主持 扞頭
2583 掌管 扞頭
2584 有始有終 有頭有尾
2584 有頭有尾 有頭有尾
2585 有應公 有應公
2585 無主孤魂 有應公
2586 收縮 收縮
2586 縮 收縮
2586 縮小 收縮
2586 縮減 收縮
2586 癒合 收縮
2587 成功 成績
2587 成果 成績
2587 成就 成績
2587 成績 成績
2587 績效 成績
2588 早齋 早齋
2589 收藏 收藏
2590 足夠可用 有額
2590 數量多 有額
2591 抬轎 扛轎
2591 護航 扛轎
2592 收口水 收瀾
2593 收驚 收驚
2594 汗 汗
2595 江 江
2596 池 池
2597 百 百
2598 竹 竹
2598 竹子 竹
2599 米 米
2600 小羊 羊
2600 羊 羊
2601 老 老
2601 經驗豐富 老
2601 熟練 老
2602 不見 老
2602 去世 老
2602 老 老
2602 消失 老
2603 考 考
2604 耳 耳
2604 耳朵 耳
2605 耳 耳
2605 耳朵 耳
2606 沾染 聿
2606 潦草 聿
2606 隨便 聿
2607 肉 肉
2608 肉 肉
2609 臣 臣
2610 自 自
2611 舌 舌
2612 色 色
2613 艾 艾
2614 艾 艾
2615 血 血
2616 血 血
2617 行 行
2617 途 行
2617 業 行
2617 職 行
2618 行 行
2619 行 行
2619 走 行
2620 米象 米𧉟
2620 米蟲 米𧉟
2621 竹䈄 竹䈄
2622 一百二十 百二
2623 年長者 老人
2623 老人 老人
2623 老人家 老人
2623 老翁 老人
2624 老花眼 老人目
2625 老人斑 老人斑
2626 老大 老大
2626 頭目 老大
2627 本人 自己
2627 本身 自己
2627 自己 自己
2627 親自 自己
2627 親身 自己
2628 年長者 老大人
2628 老人 老大人
2628 老人家 老大人
2628 老翁 老大人
2629 好兄弟 老大公
2629 好朋友 老大公
2629 孤魂野鬼 老大公
2629 遊魂 老大公
2630 肉丸 肉丸仔
2631 年長者 老公仔
2631 老人 老公仔
2631 老人家 老公仔
2631 老翁 老公仔
2632 老不修 老不修
2633 百日 百日
2634 米斗 米斗
2634 盛米器 米斗
2635 羊毛 羊毛
2636 至少 至少
2636 起碼 至少
2637 顏色 色水
2638 千日紅 百日紅
2638 圓仔花 百日紅
2639 羊毛衣 羊毛衫
2639 羊毛衫 羊毛衫
2640 百日咳 百日嗽
2641 竹 竹仔
2641 竹子 竹仔
2642 小羊 羊仔
2642 羊 羊仔
