106,七老八老,七老八十,形,七老八十。形容年紀很老。
107,了尾仔囝,敗家子,名,敗家子。不務正業、傾家蕩產而無法自立的子孫。
108,二步七仔,才能,名,本事、本領。形容人對事情有一點處理的本事、能力。
109,八角,八角,名,八角茴香的果實。茶褐色，呈星狀排列，一般多用作食品的佐料。
110,十足,十足,形,完全、充分。
111,九芎仔,九芎樹,名,九芎樹。木本植物。木質堅韌，可以拿來做手杖，根部可以拿來入藥，治瘧疾。
112,人事,人力,名,機關中的人員升調、獎懲、任免等事務。
113,八卦,八卦,名,術數用語。易經中八個基本卦名的合稱。相傳為伏羲氏所作，由陽爻和陰爻組成。後來也用來指稱八角形物品。
114,卜卦,卜卦,動,占卜。推斷未來的吉凶禍福。
115,二房,二房,名,家族中次男的支系。
116,人物,人物,名,有品格、才能出眾的人。
117,十花五色,五花八門,形,五花八門、形形色色。
118,入門,入門,動,進門。
119,人客,客人,名,客人、賓客。
120,了後,之後,時,之後。 
121,七星,七星,名,北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。
122,二指,二拇指,名,食指。
123,刁持,存心,副,故意、存心。
124,刁故意,存心,副,存心、故意。
125,刀柄,刀柄,名,刀子的把手。
126,八珍,八珍,名,漢方藥劑的名稱。
127,人面,人,名,人脈。
128,人倫,人倫,名,人類的倫常，人類相處的各種關係。
129,人員,人力,名,擔任某種職務的人。
130,入厝,搬新家,動,新居落成，搬入新家。
131,七娘媽,註生娘娘,名,註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。
132,七娘媽生,七夕,名,農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。
133,人家,民家,名,住宅、民家。
134,人家厝仔,民宅,名,民宅。
135,八家將,八家將,名,陰司的鬼役。為迎神賽會陣頭之一。
136,人格,人格,名,品格、品性。
137,人氣,人氣,名,人緣、人望。源自日語。
138,刀砧,木頭砧板,名,砧板。切割魚肉或蔬果時所墊的板子。
139,人馬,人馬,名,兵馬。泛指軍隊和武力裝備，及有相當力量的聚合人群。
140,入院,入院,動,住院。因為生病住進醫院就醫。
141,人參,人參,名,草本植物。根和葉都可以做藥，是昂貴的中藥材。因為形狀像人，所以稱為「人參」。
142,人情,人情,名,恩惠、恩情。
143,人情世事,人力,熟,人情世故。為人處世的應對進退，多用在婚喪喜慶等應酬、禮尚往來的事宜。
144,入教,受洗,動,信教、皈依。
145,人望,人氣,名,眾人矚目。
146,人造,人力,形,由人工製造而成的。
147,刀喙,刀刃,名,刀口。
149,入場,入場,動,進場。進入會場、試場或戲院等特定場所。
150,了然,灰心,形,枉然、枉費。
151,力量,力氣,名,力氣、能力。
152,刁意故,存心,形,故意、存心。
153,七爺,七爺,名,神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。
154,刀銎,刀背,名,刀背。就整把刀而言，相對於刀口的部位。
155,又閣,又,副,又、再，表示動作或現象的重複。
156,人影,人影,名,人的影子，也可以用來指人。
157,九層塔,九層塔,名,草本植物。花的顏色有白色、紫色等，因為花苞為九層狀，尖端排列成九行，所以稱為「九層塔」。其嫩莖跟葉子可食用，具有特殊香氣。
158,人範,人品,名,人品。指人的外在面貌或儀表。
159,人緣,人望,名,與人相處時，其相貌、個性、舉止受人歡迎的狀況。
160,入學,入學,動,開始進入學校學習、求學。
161,入選,入選,動,中選。被選上、被選入。
162,了錢,倒貼,動,賠錢、虧本。
163,人頭,人,名,人的頭部。
164,力頭,力氣,名,力氣、力道。
165,入殮,入殮,動,將亡者的遺體放入棺木中。
166,入聲,入聲,名,漢語的調類之一，聲音短促而急，現今華語音中已無入聲，但是在閩南語和客語中仍有保留。
167,刁難,刁難,動,故意為難。
168,人權,人權,名,人生來就有的權利或是指人民在法律上所享有的權利，包括自由、人身安全、工作、受教育、集會結社、宗教信仰、財產等一切的人身權及民主權利。
169,丈,丈,量,計算長度的單位。臺制十尺等於一丈，公制十公尺等一公丈。
170,三,三,數,數字。
172,上,上,動,登上、爬上。
175,下,下,位,指空間位置「上」的相反。
178,低,低,形,低、不高的。可用來形容位置、聲音、程度等等。
179,个,個,量,個。計算單獨的人、物的單位。
180,丸,丸,名,又小又圓的物體。
181,久,久,形,指時間的長久、長遠。
182,么,一,數,最小的數字，「一」的另一種稱呼。
183,乞,乞,動,向別人求討東西。
184,也,也,副,亦。表示相同關係。
185,亡,亡,動,死、消失、滅絕。
186,凡,凡,形,平常、平庸、普通的。
188,千,千,數,十個百為千。
190,叉,叉,名,分支、分歧。
191,口,口,名,指人的嘴巴。
192,土,土,名,土壤。亦為五行之一。
193,士,士,名,泛指尊稱他人的說法，一般用法大多接續在其職務或身份地位之後，或專指讀書人。
197,女,女,名,女性、女子。
199,子,子,名,體積小的東西。
202,寸,寸,量,計算長度的單位。一寸約三公分。
203,小,小,形,細微，是「大」的相反。
205,山,山,名,地形隆起的部分。
207,工,工,量,計算天數的單位。
209,己,己,代,自身，與別人相對。
210,巳,巳,名,地支的第六位。
211,巾,巾,名,可擦拭、披用、包蓋的方型或長方型的布，都可以說是巾。
212,干,干,名,古代的防禦兵器，即盾牌。
213,弓,弓,名,武器名。彎弧形，用於射箭的工具。
214,才,才,名,能力、才智、本事。
217,下𦜆,下巴,名,下巴、下顎。
218,丈人,岳丈,名,岳父。稱謂。男子稱妻子的父親。
219,三八,八珍,形,傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。
220,土人,率直,名,比較粗魯、率直的人。
221,大人,大人,名,日治時代老百姓對警察的稱呼。源自日語。
223,大力,用力,形,形容很用力，或者出重力。
224,小人,小人,名,品德操守低下，人格卑劣的人。
225,川七,川七,名,蔓生植物。可以入藥，有散血定痛的功效，常和杜仲相配合。嫩葉可以食用，是餐廳常見的野菜佳餚。
226,工人,工人,名,工人。靠勞力工作，以換取工資的人。
227,丈人公,妻子外公,名,稱謂。男性稱呼妻子的爺爺或外公。
